HallwayType,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,Sin-nam,0,3,2,475,2008,8,829,223008
terraced,Banwoldang,0,4,1,605,2007,5,1483,305309
mixed,Bangoge,5,5,4,798,2005,7,572,179646
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,163716
mixed,Bangoge,5,5,4,798,2005,7,743,151327
mixed,Bangoge,5,5,4,798,2005,7,1184,202654
terraced,no_subway_nearby,2,2,1,203,2009,5,910,159292
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,279646
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,119469
terraced,Banwoldang,0,2,2,524,2007,4,1419,268849
terraced,Banwoldang,0,2,2,524,2007,4,1419,265486
terraced,Banwoldang,0,2,2,524,2007,4,1103,213274
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,426,107345
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,349557
terraced,Banwoldang,0,2,2,524,2007,4,1394,245132
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,221238
mixed,Chil-sung-market,1,7,3,56,1997,5,644,132743
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,369026
mixed,Myung-duk,5,6,5,536,1993,4,644,144247
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,216814
terraced,Sin-nam,0,1,2,536,2006,5,818,150442
mixed,Myung-duk,5,6,5,536,1993,4,644,128318
terraced,Sin-nam,0,1,2,536,2006,5,818,141592
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,243362
mixed,Myung-duk,1,5,4,79,1992,3,914,212389
terraced,Sin-nam,0,3,2,475,2008,8,829,227433
corridor,Sin-nam,1,5,2,18,1986,3,910,92920
terraced,no_subway_nearby,2,2,1,203,2009,5,910,278761
terraced,Banwoldang,0,2,2,524,2007,4,1448,341592
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,194690
mixed,Myung-duk,5,6,5,536,1993,4,1288,260176
terraced,Sin-nam,0,1,2,536,2006,5,1437,371681
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,338938
terraced,Sin-nam,0,3,2,475,2008,8,1167,252212
mixed,Myung-duk,5,6,5,536,1993,4,644,92920
mixed,Myung-duk,5,6,5,536,1993,4,644,79646
terraced,Sin-nam,0,3,2,475,2008,8,829,305309
terraced,Myung-duk,2,3,1,181,2006,4,903,307079
corridor,Myung-duk,5,7,5,0,1992,3,640,75221
mixed,Myung-duk,1,5,4,79,1992,3,644,78318
mixed,Myung-duk,5,6,5,536,1993,4,914,194690
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,117699
mixed,Myung-duk,5,6,5,536,1993,4,644,96460
terraced,Sin-nam,0,3,2,475,2008,8,829,219469
mixed,Myung-duk,5,6,5,536,1993,4,644,98230
terraced,Banwoldang,0,2,2,524,2007,4,1103,274336
mixed,Myung-duk,5,6,5,536,1993,4,1288,261061
terraced,Sin-nam,0,1,2,536,2006,5,818,284955
mixed,Myung-duk,5,6,5,536,1993,4,1451,192920
mixed,Myung-duk,1,5,4,79,1992,3,644,137168
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,287610
mixed,Myung-duk,5,6,5,536,1993,4,644,92035
terraced,Sin-nam,0,1,2,536,2006,5,914,196460
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,146017
mixed,Bangoge,5,5,4,798,2005,7,743,198230
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,393805
terraced,no_subway_nearby,2,2,1,203,2009,5,910,200318
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,237610
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,149557
terraced,Sin-nam,0,1,2,536,2006,5,1743,448672
terraced,Banwoldang,0,2,2,524,2007,4,1103,214601
terraced,Myung-duk,2,3,1,181,2006,4,903,238938
terraced,Banwoldang,0,2,2,524,2007,4,1419,252212
mixed,Bangoge,5,5,4,798,2005,7,914,300000
mixed,Bangoge,5,5,4,798,2005,7,914,260176
mixed,Bangoge,5,5,4,798,2005,7,914,251327
mixed,Bangoge,5,5,4,798,2005,7,572,73053
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,225663
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,309734
mixed,Myung-duk,5,6,5,536,1993,4,914,238938
mixed,Bangoge,5,5,4,798,2005,7,743,252212
mixed,Chil-sung-market,1,7,3,56,1997,5,914,114159
terraced,Sin-nam,0,3,2,475,2008,8,914,238053
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,190265
corridor,Myung-duk,5,7,5,0,1992,3,644,68141
terraced,Sin-nam,0,3,2,475,2008,8,914,316371
terraced,Banwoldang,0,2,2,524,2007,4,1419,318584
terraced,Banwoldang,0,2,2,524,2007,4,1394,209442
mixed,Bangoge,5,5,4,798,2005,7,914,173893
mixed,Bangoge,5,5,4,798,2005,7,743,135840
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,433628
terraced,Banwoldang,0,4,1,605,2007,5,1483,442477
mixed,Bangoge,5,5,4,798,2005,7,743,192035
corridor,Sin-nam,1,5,2,18,1986,3,508,97345
corridor,Banwoldang,0,3,2,108,2014,2,288,105840
terraced,Banwoldang,0,2,2,524,2007,4,1103,210619
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,307079
mixed,Bangoge,5,5,4,798,2005,7,914,269911
terraced,Banwoldang,0,0,0,203,2014,10,1252,446902
terraced,Banwoldang,0,2,2,524,2007,4,1419,250442
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,115044
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,97345
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,183185
corridor,Myung-duk,5,7,5,0,1992,3,355,52212
terraced,Sin-nam,0,3,2,475,2008,8,914,169026
mixed,Myung-duk,5,6,5,536,1993,4,644,134513
terraced,Banwoldang,0,4,1,605,2007,5,1483,337168
mixed,Bangoge,5,5,4,798,2005,7,572,119469
terraced,Myung-duk,2,3,1,181,2006,4,1192,265486
terraced,Banwoldang,0,4,1,605,2007,5,1690,345132
mixed,Bangoge,5,5,4,798,2005,7,572,124778
terraced,Myung-duk,5,7,5,1174,2014,9,640,267256
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,250176
mixed,Chil-sung-market,1,7,3,56,1997,5,558,128318
corridor,Myung-duk,5,7,5,0,1992,3,355,86725
terraced,Banwoldang,0,2,2,524,2007,4,1448,265486
terraced,Sin-nam,0,1,2,536,2006,5,914,242477
mixed,Myung-duk,1,5,4,79,1992,3,914,101769
mixed,Bangoge,5,5,4,798,2005,7,743,230088
terraced,Sin-nam,0,1,2,536,2006,5,1437,234513
terraced,Sin-nam,0,1,2,536,2006,5,914,226548
corridor,Daegu,2,5,0,76,1985,3,587,53097
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,185840
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,247787
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,386725
terraced,no_subway_nearby,2,2,1,203,2009,5,910,243362
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,240707
corridor,Daegu,2,5,0,76,1985,3,587,112831
terraced,Sin-nam,0,1,2,536,2006,5,818,181858
terraced,Sin-nam,0,3,2,475,2008,8,914,256637
terraced,no_subway_nearby,2,2,1,203,2009,5,910,163716
terraced,Banwoldang,0,2,2,524,2007,4,1103,345132
mixed,Bangoge,5,5,4,798,2005,7,914,265486
terraced,Banwoldang,0,2,2,524,2007,4,914,296460
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,327433
terraced,no_subway_nearby,2,2,1,203,2009,5,910,201566
corridor,Daegu,2,5,0,76,1985,3,587,48672
mixed,Myung-duk,1,5,4,79,1992,3,644,161061
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,433628
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,203539
corridor,Sin-nam,1,5,2,18,1986,3,508,106194
terraced,Sin-nam,0,1,2,536,2006,5,1149,287610
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,420353
corridor,Myung-duk,5,7,5,0,1992,3,576,100000
mixed,Bangoge,5,5,4,798,2005,7,743,167256
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,262831
terraced,Myung-duk,2,3,1,181,2006,4,903,187610
terraced,Sin-nam,0,1,2,536,2006,5,914,191150
terraced,Myung-duk,2,3,1,181,2006,4,903,228318
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,373893
terraced,Banwoldang,0,2,2,524,2007,4,1448,323008
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,265486
mixed,Myung-duk,5,6,5,536,1993,4,1451,191150
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,187610
mixed,Bangoge,5,5,4,798,2005,7,1184,327433
corridor,no_subway_nearby,1,4,1,218,2014,1,156,65044
terraced,no_subway_nearby,2,2,1,203,2009,5,910,167256
corridor,Myung-duk,5,7,5,0,1992,3,640,115044
mixed,Bangoge,5,5,4,798,2005,7,743,234513
corridor,Myung-duk,5,7,5,0,1992,3,640,63716
corridor,Myung-duk,5,7,5,0,1992,3,355,37168
corridor,Daegu,2,5,0,76,1985,3,498,44690
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,178761
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,345132
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,238938
terraced,Myung-duk,5,7,5,1174,2014,9,914,330088
mixed,Bangoge,5,5,4,798,2005,7,572,158407
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,318584
corridor,Sin-nam,1,5,2,18,1986,3,508,57522
corridor,Sin-nam,1,5,2,18,1986,3,451,53982
mixed,Myung-duk,5,6,5,536,1993,4,1451,184070
corridor,Daegu,2,5,0,76,1985,3,587,57522
mixed,Bangoge,5,5,4,798,2005,7,743,162831
terraced,Sin-nam,0,3,2,475,2008,8,914,318584
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,491150
terraced,Banwoldang,0,2,2,524,2007,4,914,305309
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,274336
mixed,Myung-duk,5,6,5,536,1993,4,1451,181415
terraced,Sin-nam,0,3,2,475,2008,8,829,260176
corridor,Sin-nam,1,5,2,18,1986,3,508,56637
mixed,Bangoge,5,5,4,798,2005,7,743,146902
terraced,Sin-nam,0,3,2,475,2008,8,829,210619
terraced,Banwoldang,0,2,2,524,2007,4,1394,212389
terraced,Banwoldang,0,2,2,524,2007,4,914,268141
corridor,Myung-duk,5,7,5,0,1992,3,576,85840
terraced,Sin-nam,0,3,2,475,2008,8,914,221238
terraced,Sin-nam,0,3,2,475,2008,8,1167,281858
terraced,Banwoldang,0,2,2,524,2007,4,1419,279646
corridor,Banwoldang,0,3,2,108,2014,2,288,100884
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,362831
terraced,Myung-duk,2,3,1,181,2006,4,1192,242300
terraced,Banwoldang,0,2,2,524,2007,4,1366,402654
mixed,Bangoge,5,5,4,798,2005,7,572,191150
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,252212
terraced,Sin-nam,0,3,2,475,2008,8,1167,253982
mixed,Myung-duk,5,6,5,536,1993,4,644,104867
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,158407
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,179646
mixed,Myung-duk,5,6,5,536,1993,4,914,137168
mixed,Myung-duk,5,6,5,536,1993,4,644,175221
mixed,Chil-sung-market,1,7,3,56,1997,5,644,71681
terraced,Banwoldang,0,0,0,203,2014,10,914,380530
terraced,Sin-nam,0,3,2,475,2008,8,829,192035
terraced,Sin-nam,0,3,2,475,2008,8,829,238053
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,446902
corridor,Sin-nam,1,5,2,18,1986,3,451,68584
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,232743
terraced,Sin-nam,0,3,2,475,2008,8,914,265486
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,227433
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,779,131858
terraced,Myung-duk,5,7,5,1174,1980,9,736,61946
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,237168
mixed,Bangoge,5,5,4,798,2005,7,743,145132
mixed,Myung-duk,1,5,4,79,1992,3,914,110619
mixed,Myung-duk,5,6,5,536,1993,4,1761,261061
mixed,Myung-duk,5,6,5,536,1993,4,1451,236283
terraced,Banwoldang,0,2,2,524,2007,4,1419,256637
terraced,Myung-duk,2,3,1,181,2006,4,903,215929
mixed,Bangoge,5,5,4,798,2005,7,914,153539
terraced,Banwoldang,0,2,2,524,2007,4,1394,243362
corridor,Myung-duk,5,7,5,0,1992,3,576,125221
terraced,Sin-nam,0,3,2,475,2008,8,1167,221238
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,277876
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,255442
terraced,Sin-nam,0,3,2,475,2008,8,1167,249557
terraced,Myung-duk,5,7,5,1174,2014,9,910,350884
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,176991
mixed,Myung-duk,1,5,4,79,1992,3,644,129646
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,148672
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,287610
mixed,Bangoge,5,5,4,798,2005,7,572,210619
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,210619
terraced,Banwoldang,0,4,1,605,2007,5,1629,464601
mixed,Bangoge,5,5,4,798,2005,7,914,171238
terraced,Banwoldang,0,4,1,605,2007,5,1444,415929
mixed,Myung-duk,5,6,5,536,1993,4,644,160176
terraced,Sin-nam,0,1,2,536,2006,5,1149,356637
mixed,Chil-sung-market,1,7,3,56,1997,5,558,71238
mixed,Myung-duk,5,6,5,536,1993,4,1761,358407
mixed,Bangoge,5,5,4,798,2005,7,743,153097
mixed,Myung-duk,5,6,5,536,1993,4,914,120796
corridor,Myung-duk,5,7,5,0,1992,3,576,67256
corridor,no_subway_nearby,1,4,1,218,2014,1,138,55752
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,219469
terraced,Banwoldang,0,2,2,524,2007,4,914,218584
terraced,Banwoldang,0,4,1,605,2007,5,1690,504424
terraced,Banwoldang,0,2,2,524,2007,4,1366,254867
terraced,Banwoldang,0,4,1,605,2007,5,1444,389380
terraced,Sin-nam,0,3,2,475,2008,8,914,320353
corridor,Banwoldang,0,3,2,108,2014,2,288,83902
corridor,Daegu,2,5,0,76,1985,3,587,93805
terraced,Myung-duk,2,3,1,181,2006,4,1192,245132
terraced,Sin-nam,0,3,2,475,2008,8,829,218584
terraced,Myung-duk,5,7,5,1174,2014,9,843,324778
terraced,Sin-nam,0,3,2,475,2008,8,829,163716
mixed,Myung-duk,5,6,5,536,1993,4,1451,234513
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,340707
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,266371
mixed,Bangoge,5,5,4,798,2005,7,572,168141
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,244690
mixed,Bangoge,5,5,4,798,2005,7,743,200000
corridor,no_subway_nearby,1,4,1,218,2014,1,156,58407
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,407424
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,250442
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,208849
terraced,Myung-duk,5,7,5,1174,2014,9,640,256637
terraced,Banwoldang,0,4,1,605,2007,5,1273,307964
mixed,Myung-duk,5,6,5,536,1993,4,1761,339823
terraced,Banwoldang,0,2,2,524,2007,4,1103,236283
mixed,Chil-sung-market,1,7,3,56,1997,5,644,78318
mixed,Myung-duk,5,6,5,536,1993,4,644,83628
terraced,Sin-nam,0,3,2,475,2008,8,914,312389
mixed,Myung-duk,5,6,5,536,1993,4,644,184070
corridor,Sin-nam,1,5,2,18,1986,3,910,164601
mixed,Myung-duk,5,6,5,536,1993,4,1761,205309
terraced,Banwoldang,0,4,1,605,2007,5,1629,419469
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,345132
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,163716
mixed,Bangoge,5,5,4,798,2005,7,743,163716
mixed,Bangoge,5,5,4,798,2005,7,572,104424
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,132743
terraced,Myung-duk,2,3,1,181,2006,4,903,158407
mixed,Bangoge,5,5,4,798,2005,7,572,106194
mixed,Bangoge,5,5,4,798,2005,7,914,181415
mixed,Chil-sung-market,1,7,3,56,1997,5,644,117699
terraced,Sin-nam,0,3,2,475,2008,8,829,221238
mixed,Bangoge,5,5,4,798,2005,7,743,242477
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,165929
terraced,Sin-nam,0,3,2,475,2008,8,914,295575
mixed,Bangoge,5,5,4,798,2005,7,743,250442
terraced,Banwoldang,0,2,2,524,2007,4,1366,283185
mixed,Bangoge,5,5,4,798,2005,7,743,139823
mixed,Bangoge,5,5,4,798,2005,7,1184,323008
mixed,Bangoge,5,5,4,798,2005,7,743,157522
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,191150
mixed,Myung-duk,1,5,4,79,1992,3,644,82300
terraced,Banwoldang,0,0,0,203,2014,10,914,360176
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,209734
mixed,Myung-duk,5,6,5,536,1993,4,644,146017
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,307079
terraced,Sin-nam,0,3,2,475,2008,8,829,266814
mixed,Chil-sung-market,1,7,3,56,1997,5,558,68141
corridor,Myung-duk,5,7,5,0,1992,3,576,60619
terraced,Sin-nam,0,3,2,475,2008,8,914,250442
mixed,Chil-sung-market,1,7,3,56,1997,5,430,58407
terraced,Banwoldang,0,2,2,524,2007,4,1419,265044
mixed,Myung-duk,5,6,5,536,1993,4,914,157522
corridor,Myung-duk,5,7,5,0,1992,3,576,73893
terraced,Banwoldang,0,4,1,605,2007,5,1629,307079
terraced,Myung-duk,5,7,5,1174,2014,9,910,367256
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,323088
mixed,Myung-duk,5,6,5,536,1993,4,914,221238
mixed,Myung-duk,5,6,5,536,1993,4,914,154867
terraced,Banwoldang,0,2,2,524,2007,4,1394,221238
mixed,Myung-duk,5,6,5,536,1993,4,914,135398
mixed,Bangoge,5,5,4,798,2005,7,914,162831
mixed,Myung-duk,1,5,4,79,1992,3,914,216814
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,225663
corridor,Myung-duk,5,7,5,0,1992,3,644,63716
terraced,no_subway_nearby,0,1,1,1321,2015,10,1035,451327
terraced,Sin-nam,0,3,2,475,2008,8,1167,383185
corridor,Myung-duk,5,7,5,0,1992,3,576,101769
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,333628
terraced,Banwoldang,0,2,2,524,2007,4,1448,300884
terraced,Banwoldang,0,2,2,524,2007,4,1419,281415
corridor,Myung-duk,5,7,5,0,1992,3,576,62831
mixed,Bangoge,5,5,4,798,2005,7,572,157522
terraced,Myung-duk,5,7,5,1174,2014,9,644,270796
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,317699
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,438053
terraced,Banwoldang,0,2,2,524,2007,4,914,194690
corridor,no_subway_nearby,1,4,1,218,2014,1,135,60973
mixed,Myung-duk,5,6,5,536,1993,4,1761,380530
terraced,Myung-duk,5,7,5,1174,2014,9,640,296460
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,238053
terraced,Sin-nam,0,3,2,475,2008,8,1167,280530
mixed,Bangoge,5,5,4,798,2005,7,1184,172566
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,372566
terraced,Myung-duk,2,3,1,181,2006,4,903,203539
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,274336
terraced,Myung-duk,5,7,5,1174,2014,9,910,326548
terraced,Banwoldang,0,2,2,524,2007,4,914,246017
terraced,Myung-duk,2,3,1,181,2006,4,903,288053
terraced,Sin-nam,0,3,2,475,2008,8,914,315929
mixed,Myung-duk,1,5,4,79,1992,3,914,178761
terraced,Banwoldang,0,0,0,203,2014,10,914,378761
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,176991
terraced,Banwoldang,0,4,1,605,2007,5,1483,398230
mixed,Bangoge,5,5,4,798,2005,7,572,155752
terraced,Banwoldang,0,4,1,605,2007,5,1629,446017
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,224778
terraced,Banwoldang,0,4,1,605,2007,5,1690,353982
mixed,Myung-duk,5,6,5,536,1993,4,914,125663
mixed,Chil-sung-market,1,7,3,56,1997,5,558,65486
terraced,Sin-nam,0,1,2,536,2006,5,1149,232743
terraced,Sin-nam,0,3,2,475,2008,8,829,207964
corridor,Banwoldang,0,3,2,108,2014,2,288,88318
terraced,Myung-duk,5,7,5,1174,2014,9,1092,420353
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,210265
corridor,Sin-nam,1,5,2,18,1986,3,508,65929
mixed,Myung-duk,1,5,4,79,1992,3,914,176991
terraced,Banwoldang,0,0,0,203,2014,10,914,384955
mixed,Bangoge,5,5,4,798,2005,7,914,160176
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,192920
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,349115
mixed,Myung-duk,5,6,5,536,1993,4,914,236283
mixed,Chil-sung-market,1,7,3,56,1997,5,644,92920
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,193805
corridor,Daegu,2,5,0,76,1985,3,587,59115
mixed,Myung-duk,1,5,4,79,1992,3,914,158407
terraced,Banwoldang,0,4,1,605,2007,5,1273,327433
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,203539
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,262929
terraced,Banwoldang,0,2,2,524,2007,4,1103,315044
mixed,Myung-duk,1,5,4,79,1992,3,914,123008
terraced,Banwoldang,0,4,1,605,2007,5,1334,398230
mixed,Myung-duk,5,6,5,536,1993,4,1761,176991
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,242477
terraced,Daegu,0,3,2,400,2015,7,914,389380
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,176991
corridor,Myung-duk,5,7,5,0,1992,3,576,66814
terraced,Sin-nam,0,1,2,536,2006,5,1437,265486
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,220353
terraced,Sin-nam,0,1,2,536,2006,5,914,168141
terraced,no_subway_nearby,2,2,1,203,2009,5,910,199637
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,290265
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,141592
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,242274
terraced,Sin-nam,0,1,2,536,2006,5,1743,427433
terraced,Banwoldang,0,2,2,524,2007,4,1419,261061
terraced,Myung-duk,5,7,5,1174,2014,9,907,296460
corridor,no_subway_nearby,1,4,1,218,2014,1,135,62831
terraced,Banwoldang,0,4,1,605,2007,5,1483,307079
corridor,Sin-nam,1,5,2,18,1986,3,508,100884
mixed,Bangoge,5,5,4,798,2005,7,743,152654
terraced,Banwoldang,0,2,2,524,2007,4,1103,349557
terraced,Sin-nam,0,3,2,475,2008,8,1167,295575
terraced,Sin-nam,0,3,2,475,2008,8,1167,234513
mixed,Bangoge,5,5,4,798,2005,7,572,159292
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,278761
terraced,Sin-nam,0,1,2,536,2006,5,818,289380
terraced,Banwoldang,0,4,1,605,2007,5,1690,445132
terraced,no_subway_nearby,2,2,1,203,2009,5,910,148707
terraced,Sin-nam,0,3,2,475,2008,8,914,170796
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,190106
terraced,Myung-duk,5,7,5,1174,2014,9,914,338938
terraced,Sin-nam,0,3,2,475,2008,8,1167,286725
mixed,Myung-duk,5,6,5,536,1993,4,914,255752
terraced,Myung-duk,5,7,5,1174,2014,9,640,269026
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,265486
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,297345
terraced,Banwoldang,0,2,2,524,2007,4,1103,283185
terraced,Sin-nam,0,1,2,536,2006,5,914,190265
terraced,Myung-duk,2,3,1,181,2006,4,903,176106
corridor,Myung-duk,5,7,5,0,1992,3,576,130973
mixed,Myung-duk,1,5,4,79,1992,3,1448,181415
mixed,Myung-duk,5,6,5,536,1993,4,644,86725
mixed,Bangoge,5,5,4,798,2005,7,572,199115
mixed,Myung-duk,5,6,5,536,1993,4,1288,228318
mixed,Bangoge,5,5,4,798,2005,7,743,119469
mixed,Bangoge,5,5,4,798,2005,7,914,219469
terraced,Sin-nam,0,1,2,536,2006,5,1149,243362
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,127876
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,168141
mixed,Myung-duk,1,5,4,79,1992,3,644,130088
mixed,Bangoge,5,5,4,798,2005,7,572,79646
mixed,Myung-duk,5,6,5,536,1993,4,1451,170353
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,377876
terraced,no_subway_nearby,2,2,1,203,2009,5,910,283185
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,144247
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,388495
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,285433
terraced,Sin-nam,0,1,2,536,2006,5,1149,253982
corridor,no_subway_nearby,1,4,1,218,2014,1,135,53982
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,261592
terraced,Myung-duk,5,7,5,1174,2014,9,914,336283
terraced,Sin-nam,0,3,2,475,2008,8,914,215044
terraced,no_subway_nearby,2,2,1,203,2009,5,910,156194
terraced,Sin-nam,0,3,2,475,2008,8,914,331415
terraced,Banwoldang,0,2,2,524,2007,4,1103,330088
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,320469
terraced,Banwoldang,0,4,1,605,2007,5,1444,383185
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,436283
corridor,Banwoldang,0,3,2,108,2014,2,288,110619
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,159292
terraced,Myung-duk,2,3,1,181,2006,4,903,162831
terraced,Sin-nam,0,3,2,475,2008,8,1167,278761
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,416814
mixed,Bangoge,5,5,4,798,2005,7,914,174336
terraced,no_subway_nearby,2,2,1,203,2009,5,910,180530
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,223008
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,236725
mixed,Myung-duk,1,5,4,79,1992,3,644,123893
